Suburb,Rooms,Type,Price,Regionname
Abbotsford,3,h,1490000,Northern Metropolitan
Abbotsford,3,h,1220000,Northern Metropolitan
Abbotsford,3,h,1420000,Northern Metropolitan
Aberfeldie,3,h,1515000,Western Metropolitan
Airport West,2,h,670000,Western Metropolitan
Airport West,2,t,530000,Western Metropolitan
Airport West,2,u,540000,Western Metropolitan
Airport West,3,h,715000,Western Metropolitan
Albert Park,3,h,1925000,Southern Metropolitan
Albion,3,u,515000,Western Metropolitan
Albion,4,h,717000,Western Metropolitan
Alphington,2,h,1675000,Northern Metropolitan
Alphington,4,h,2008000,Northern Metropolitan
Altona,2,h,860000,Western Metropolitan
Altona Meadows,4,h,0,Western Metropolitan
Altona North,3,h,720000,Western Metropolitan
Armadale,2,u,836000,Southern Metropolitan
Armadale,3,h,1386000,Southern Metropolitan
Armadale,2,u,580000,Southern Metropolitan
Armadale,1,u,355000,Southern Metropolitan
Ascot Vale,3,h,1123100,Western Metropolitan
Ashburton,3,u,1270000,Southern Metropolitan
Ashburton,4,h,0,Southern Metropolitan
Ashburton,3,t,1610000,Southern Metropolitan
Ashwood,4,h,1435000,Southern Metropolitan
Aspendale,4,h,1431000,South-Eastern Metropolitan
Aspendale Gardens,4,h,996000,South-Eastern Metropolitan
Attwood,4,h,0,Northern Metropolitan
Avondale Heights,4,h,825000,Western Metropolitan
Balwyn,2,u,660800,Southern Metropolitan
Balwyn,2,t,700000,Southern Metropolitan
Balwyn,3,u,955000,Southern Metropolitan
Balwyn,4,h,1810000,Southern Metropolitan
Balwyn North,4,h,1850000,Southern Metropolitan
Balwyn North,3,h,0,Southern Metropolitan
Balwyn North,3,h,1220000,Southern Metropolitan
Balwyn North,4,h,0,Southern Metropolitan
Balwyn North,2,u,800000,Southern Metropolitan
Bayswater North,4,h,880000,Eastern Metropolitan
Beaumaris,4,h,1285000,Southern Metropolitan
Beaumaris,2,u,835000,Southern Metropolitan
Beaumaris,4,h,1445000,Southern Metropolitan
Beaumaris,2,t,0,Southern Metropolitan
Beaumaris,4,h,1435000,Southern Metropolitan
Bellfield,3,u,675000,Eastern Metropolitan
Bentleigh,4,t,1300000,Southern Metropolitan
Bentleigh,4,t,1500000,Southern Metropolitan
Bentleigh,3,h,1340000,Southern Metropolitan
Bentleigh,2,h,0,Southern Metropolitan
Bentleigh East,3,h,1400000,Southern Metropolitan
Bentleigh East,2,u,0,Southern Metropolitan
Bentleigh East,2,t,775000,Southern Metropolitan
Bentleigh East,3,t,920000,Southern Metropolitan
Bentleigh East,2,h,1220000,Southern Metropolitan
Bentleigh East,2,h,1130000,Southern Metropolitan
Bentleigh East,4,h,1460000,Southern Metropolitan
Black Rock,3,t,0,Southern Metropolitan
Blackburn,4,h,1200000,Eastern Metropolitan
Blackburn,4,h,1410000,Eastern Metropolitan
Blackburn,3,h,1110000,Eastern Metropolitan
Blackburn North,4,h,960000,Eastern Metropolitan
Blackburn North,5,h,1090000,Eastern Metropolitan
Blackburn South,3,h,980000,Eastern Metropolitan
Blackburn South,3,t,0,Eastern Metropolitan
Blackburn South,4,h,1925000,Eastern Metropolitan
Blackburn South,3,u,710000,Eastern Metropolitan
Bonbeach,4,h,985000,South-Eastern Metropolitan
Boronia,4,h,0,Eastern Metropolitan
Box Hill,2,u,420000,Eastern Metropolitan
Braybrook,3,h,500500,Western Metropolitan
Braybrook,2,h,490000,Western Metropolitan
Braybrook,2,t,500000,Western Metropolitan
Brighton,3,t,0,Southern Metropolitan
Brighton,4,h,0,Southern Metropolitan
Brighton,3,h,0,Southern Metropolitan
Brighton,4,h,0,Southern Metropolitan
Brighton East,2,u,0,Southern Metropolitan
Brighton East,4,h,0,Southern Metropolitan
Brighton East,4,h,0,Southern Metropolitan
Brighton East,3,h,1958000,Southern Metropolitan
Brighton East,4,h,0,Southern Metropolitan
Broadmeadows,4,h,0,Northern Metropolitan
Broadmeadows,3,h,457000,Northern Metropolitan
Brunswick,3,h,0,Northern Metropolitan
Brunswick,2,h,740000,Northern Metropolitan
Brunswick,3,h,0,Northern Metropolitan
Brunswick,3,h,900000,Northern Metropolitan
Brunswick,4,h,1250000,Northern Metropolitan
Brunswick,4,h,0,Northern Metropolitan
Brunswick,2,h,1225000,Northern Metropolitan
Brunswick,3,h,1120000,Northern Metropolitan
Brunswick,2,t,560000,Northern Metropolitan
Brunswick,3,h,1685000,Northern Metropolitan
Brunswick,2,u,625000,Northern Metropolitan
Brunswick East,3,h,1470000,Northern Metropolitan
Brunswick East,2,h,860000,Northern Metropolitan
Brunswick West,3,t,900000,Northern Metropolitan
Brunswick West,2,u,398000,Northern Metropolitan
Brunswick West,2,h,576000,Northern Metropolitan
Brunswick West,4,h,1400000,Northern Metropolitan
Brunswick West,5,h,0,Northern Metropolitan
Brunswick West,3,h,850000,Northern Metropolitan
Bulleen,4,h,1150000,Eastern Metropolitan
Bundoora,2,t,525000,Northern Metropolitan
Bundoora,4,h,740000,Northern Metropolitan
Bundoora,2,u,340000,Northern Metropolitan
Burwood,5,h,1265000,Southern Metropolitan
Burwood,3,h,1000000,Southern Metropolitan
Burwood East,4,t,1460000,Eastern Metropolitan
Burwood East,4,t,1200000,Eastern Metropolitan
Burwood East,4,h,935000,Eastern Metropolitan
Burwood East,3,u,780000,Eastern Metropolitan
Camberwell,2,u,868000,Southern Metropolitan
Camberwell,3,t,1375000,Southern Metropolitan
Camberwell,2,h,1235000,Southern Metropolitan
Camberwell,3,h,1510000,Southern Metropolitan
Camberwell,3,h,1520000,Southern Metropolitan
Camberwell,2,u,835000,Southern Metropolitan
Camberwell,2,u,495000,Southern Metropolitan
Camberwell,6,h,0,Southern Metropolitan
Carlton,2,u,0,Northern Metropolitan
Carlton North,2,h,1470000,Northern Metropolitan
Carnegie,4,h,1775000,Southern Metropolitan
Carnegie,3,h,0,Southern Metropolitan
Carnegie,1,u,295000,Southern Metropolitan
Caroline Springs,4,h,629000,Western Metropolitan
Caroline Springs,2,t,406000,Western Metropolitan
Carrum,3,h,825000,South-Eastern Metropolitan
Carrum Downs,4,h,581500,South-Eastern Metropolitan
Caulfield East,3,h,1400000,Southern Metropolitan
Caulfield North,2,h,0,Southern Metropolitan
Caulfield South,2,u,0,Southern Metropolitan
Caulfield South,3,h,1538000,Southern Metropolitan
Chadstone,3,h,1354000,Southern Metropolitan
Chelsea,3,u,886000,South-Eastern Metropolitan
Cheltenham,4,h,0,Southern Metropolitan
Chintin,5,h,0,Northern Victoria
Clayton,4,t,1010000,South-Eastern Metropolitan
Clayton,2,t,697500,South-Eastern Metropolitan
Clayton,4,h,0,South-Eastern Metropolitan
Clayton South,3,h,800000,South-Eastern Metropolitan
Clifton Hill,4,h,0,Northern Metropolitan
Clifton Hill,3,h,1805000,Northern Metropolitan
Clifton Hill,3,h,1400000,Northern Metropolitan
Coburg,3,h,1032500,Northern Metropolitan
Coburg,3,h,1070000,Northern Metropolitan
Coburg,3,h,1005000,Northern Metropolitan
Coburg,2,h,905000,Northern Metropolitan
Coburg,2,u,412000,Northern Metropolitan
Coburg,1,u,333000,Northern Metropolitan
Coburg,2,h,797500,Northern Metropolitan
Coburg,2,u,430000,Northern Metropolitan
Coburg North,2,t,490000,Northern Metropolitan
Coburg North,4,h,960000,Northern Metropolitan
Collingwood,2,t,0,Northern Metropolitan
Collingwood,2,u,960000,Northern Metropolitan
Craigieburn,3,h,356500,Northern Metropolitan
Craigieburn,5,h,0,Northern Metropolitan
Craigieburn,4,h,580500,Northern Metropolitan
Craigieburn,3,h,573000,Northern Metropolitan
Craigieburn,4,h,475000,Northern Metropolitan
Craigieburn,3,t,385000,Northern Metropolitan
Cranbourne,3,h,0,South-Eastern Metropolitan
Cranbourne North,3,h,475000,South-Eastern Metropolitan
Croydon,3,t,744000,Eastern Metropolitan
Croydon,4,h,0,Eastern Metropolitan
Croydon,3,h,0,Eastern Metropolitan
Croydon,3,h,746000,Eastern Metropolitan
Croydon,3,h,965000,Eastern Metropolitan
Dallas,3,h,455500,Northern Metropolitan
Dandenong,3,h,800000,South-Eastern Metropolitan
Dandenong,3,h,610000,South-Eastern Metropolitan
Dandenong,2,u,0,South-Eastern Metropolitan
Dandenong North,2,u,307000,South-Eastern Metropolitan
Darley,3,h,0,Western Victoria
Deepdene,2,h,1610000,Southern Metropolitan
Deer Park,5,h,589000,Western Metropolitan
Deer Park,4,h,603000,Western Metropolitan
Delahey,3,h,335000,Western Metropolitan
Diamond Creek,4,h,730000,Northern Victoria
Dingley Village,4,h,920000,South-Eastern Metropolitan
Dingley Village,3,h,770000,South-Eastern Metropolitan
Dingley Village,4,h,1140000,South-Eastern Metropolitan
Dingley Village,4,h,910000,South-Eastern Metropolitan
Dingley Village,4,h,883850,South-Eastern Metropolitan
Doncaster,4,h,1556000,Eastern Metropolitan
Doncaster,4,h,0,Eastern Metropolitan
Doncaster East,4,h,1249000,Eastern Metropolitan
Doncaster East,3,t,950000,Eastern Metropolitan
Doncaster East,3,t,820000,Eastern Metropolitan
Doncaster East,4,h,1730000,Eastern Metropolitan
Doncaster East,3,h,0,Eastern Metropolitan
Donvale,3,h,1260000,Eastern Metropolitan
Donvale,4,h,1300000,Eastern Metropolitan
Eaglemont,3,h,1820000,Eastern Metropolitan
East Melbourne,1,u,675000,Northern Metropolitan
Edithvale,3,h,1130000,South-Eastern Metropolitan
Elsternwick,3,t,1683000,Southern Metropolitan
Elsternwick,4,h,0,Southern Metropolitan
Eltham,3,h,840500,Eastern Metropolitan
Eltham,3,h,900000,Eastern Metropolitan
Eltham,3,h,837000,Eastern Metropolitan
Eltham North,4,h,1000000,Eastern Metropolitan
Elwood,1,u,0,Southern Metropolitan
Elwood,2,u,800000,Southern Metropolitan
Elwood,2,u,805000,Southern Metropolitan
Elwood,3,u,0,Southern Metropolitan
Elwood,2,u,0,Southern Metropolitan
Elwood,5,h,0,Southern Metropolitan
Endeavour Hills,4,h,690000,South-Eastern Metropolitan
Epping,3,h,497000,Northern Metropolitan
